Date,Open,High,Low,Close,Adj Close,Volume
2009-03-11,1.570000,1.590000,1.500000,1.510000,1.366818,78000
2009-03-12,1.500000,1.550000,1.490000,1.490000,1.348714,157700
2009-03-13,1.490000,1.570000,1.490000,1.520000,1.375870,83400
2009-03-16,1.500000,1.530000,1.500000,1.510000,1.366818,66200
2009-03-17,1.680000,1.680000,1.490000,1.510000,1.366818,35500
2009-03-18,1.500000,1.530000,1.490000,1.490000,1.348714,26400
2009-03-19,1.430000,1.480000,1.370000,1.410000,1.276300,189300
2009-03-20,1.410000,1.470000,1.400000,1.450000,1.312507,76200
2009-03-23,1.420000,1.530000,1.420000,1.470000,1.330611,137700
2009-03-24,1.380000,1.510000,1.380000,1.500000,1.357766,39300
2009-03-25,1.490000,1.520000,1.490000,1.490000,1.348714,31000
2009-03-26,1.510000,1.570000,1.500000,1.550000,1.403025,62800
2009-03-27,1.590000,1.590000,1.500000,1.500000,1.357766,54900
2009-03-30,1.640000,1.640000,1.500000,1.500000,1.357766,49300
2009-03-31,1.500000,1.540000,1.500000,1.530000,1.384921,104200
2009-04-01,1.490000,1.590000,1.490000,1.590000,1.439232,144200
2009-04-02,1.700000,1.750000,1.600000,1.640000,1.484491,56200
2009-04-03,1.630000,1.630000,1.550000,1.590000,1.439232,22800
2009-04-06,1.630000,1.660000,1.580000,1.600000,1.448284,64500
2009-04-07,1.600000,1.700000,1.590000,1.620000,1.466387,51600
2009-04-08,1.610000,1.710000,1.610000,1.620000,1.466387,27700
2009-04-09,1.590000,1.730000,1.590000,1.650000,1.493542,45800
2009-04-13,1.660000,1.870000,1.660000,1.850000,1.674578,76900
2009-04-14,1.800000,1.870000,1.720000,1.760000,1.593112,69300
2009-04-15,1.700000,1.960000,1.700000,1.960000,1.774148,55500
2009-04-16,1.960000,2.050000,1.920000,1.930000,1.746992,171400
2009-04-17,1.920000,2.050000,1.900000,1.900000,1.719837,81700
2009-04-20,1.810000,2.040000,1.800000,2.040000,1.846561,33900
2009-04-21,1.900000,2.190000,1.900000,2.010000,1.819406,118800
2009-04-22,2.060000,2.160000,1.930000,2.050000,1.855614,57400
2009-04-23,2.120000,2.170000,2.100000,2.140000,1.937080,38100
2009-04-24,2.100000,2.340000,2.100000,2.200000,1.991390,81400
2009-04-27,2.150000,2.400000,2.150000,2.270000,2.054752,110300
2009-04-28,2.290000,2.520000,2.290000,2.500000,2.262943,117400
2009-04-29,2.540000,2.660000,2.420000,2.470000,2.235788,145400
2009-04-30,2.450000,2.770000,2.450000,2.630000,2.380616,71100
2009-05-01,2.700000,3.280000,2.660000,3.100000,2.806050,152500
